index,file_name,data_type,data_source,instruction,bbox_x0,bbox_y0,bbox_x1,bbox_y1,plura_x,plura_y,plura_hit,plura_dist_center,det_x,det_y,det_hit,det_dist_center,det_iou,gpt_x,gpt_y,gpt_hit,gpt_dist_center,gpt_cached,gpt_latency_seconds
565,common_mac/Screenshot 2024-11-07 at 1.51.42 PM.png,icon,macos,cancel downloading,0.5319148936170213,0.29048463356973997,0.535405585106383,0.2978723404255319,0.6580958999305073,0.5216316440049443,False,0.2592666045864492,0.6664350243224462,0.5129789864029666,False,0.2559351520627714,0.0,,,,,,
283,excel_mac/screenshot_2024-12-03_21-37-02.png,text,macos,"when user enters invalid data, show a warning dialog",0.4395833333333333,0.28425925925925927,0.4825520833333333,0.29259259259259257,0.5962473940236275,0.5241038318912238,False,0.27169398738933204,0.11535788742182071,0.28182941903584674,False,0.3457727493279668,0.0,,,,,,
1235,unreal_engine_windows/screenshot_2024-12-16_00-07-50.png,text,windows,Get content from Fab,0.025,0.6398148148148148,0.04192708333333333,0.6527777777777778,0.5628908964558721,0.4177997527812114,False,0.5766315933049769,0.826963168867269,0.3300370828182942,False,0.8542022877967603,0.0,,,,,,
1378,vscode_mac/screenshot_2024-10-23_19-07-38.png,icon,macos,Preview the markdown file.,0.9671875,0.0625,0.975,0.07451923076923077,0.44683808200138986,0.2021390374331551,False,0.5410183248889964,0.13829047949965254,0.5935828877005348,False,0.9845116701475014,0.0,,,,,,
90,autocad_windows/screenshot_2024-12-05_10-44-24.png,text,windows,Draw out the serial number.,0.034375,0.05925925925925926,0.050520833333333334,0.11944444444444445,0.3050729673384295,0.6311881188118812,False,0.6021282732387894,0.29881862404447534,0.35396039603960394,False,0.3684340120816203,0.0,,,,,,
1419,common_windows/screenshot_2024-12-10_13-23-29.png,icon,windows,show touch keyboard,0.9359375,0.9791666666666666,0.9434895833333333,0.9981481481481481,0.31480194579569143,0.13226205191594562,False,1.0601544734430715,0.46351633078526755,0.4326328800988875,False,0.7320703918475917,0.0,,,,,,
1113,solidworks_windows/screenshot_2024-11-24_16-28-39.png,icon,windows,Draw a circle,0.038802083333333334,0.062037037037037036,0.04479166666666667,0.08148148148148149,0.4273801250868659,0.36386138613861385,False,0.48373349612673416,0.1931897150799166,0.07673267326732673,False,0.15147450899197146,0.0,,,,,,
161,blender_windows/screenshot_2024-12-02_13-43-03.png,text,windows,"Select the output handle of ""Join Geometry""",0.509765625,0.6284722222222222,0.515234375,0.6395833333333333,0.35232800555941624,0.23856613102595797,False,0.4266672964438867,0.6018068102849201,0.5945611866501854,False,0.09763871249918891,0.004638112688960147,,,,,,
964,pycharm_mac/screenshot_2024-11-05_15-58-36.png,icon,macos,disable markdown in pycharm,0.37161458333333336,0.6125,0.3776041666666667,0.6226851851851852,0.48922863099374564,0.40914709517923364,False,0.23788043054539493,0.13759555246699096,0.15327564894932014,False,0.5213115922612298,0.0,,,,,,
1309,vivado_windows/screenshot_2024-12-09_23-55-57.png,text,windows,click project summary in vivado,0.161328125,0.22430555555555556,0.169921875,0.24305555555555555,0.5691452397498262,0.1446229913473424,False,0.41323096886663424,0.1841556636553162,0.24969097651421507,False,0.024489162394413167,0.0,,,,,,
522,common_linux/Screenshot from 2024-12-07 15-44-39.png,text,linux,choose the current path as source,0.7039930555555556,0.5027777777777778,0.7265625,0.512962962962963,0.010423905489923557,0.11902113459399333,False,0.804998577292566,0.5545517720639332,0.07007786429365963,False,0.4663637285313403,0.0,,,,,,
356,fruitloops_windows/screenshot_2024-11-04_10-57-26.png,icon,windows,set target mixer track for violins spiccato,0.3640625,0.6527777777777778,0.377734375,0.6715277777777777,0.7268936761640028,0.242274412855377,False,0.5504820172188635,0.46351633078526755,0.2657601977750309,False,0.40706897651115015,0.0,,,,,,
587,common_mac/screenshot_2024-10-23_14-56-46.png,text,macos,check sharing permissions,0.06944444444444445,0.3222918531781558,0.11082175925925926,0.3299015219337511,0.47463516330785266,0.4118279569892473,False,0.39394375972029083,0.47324530924252955,0.4129032258064516,False,0.39282354630901756,0.0013793420296159128,,,,,,
374,fruitloops_windows/screenshot_2024-10-24_17-30-56.png,text,windows,adjust step size,0.1515625,0.1763888888888889,0.18359375,0.1909722222222222,0.020152883947185545,0.3535228677379481,False,0.22490133994029857,0.03961084086170952,0.11866501854140915,False,0.14353621794852967,0.0,,,,,,
1261,vivado_windows/screenshot_2024-12-09_22-22-12.png,text,windows,generate bitstream in vivado,0.195703125,0.7993055555555556,0.2546875,0.8222222222222222,0.5337039610840861,0.4276885043263288,False,0.4918580450789967,0.46143154968728284,0.41903584672435107,False,0.457447722454127,0.0,,,,,,
1111,solidworks_windows/screenshot_2024-12-01_21-24-13.png,text,windows,Evaluate curvature,0.10338541666666666,0.10740740740740741,0.12552083333333333,0.1287037037037037,0.6497567755385685,0.40594059405940597,False,0.6078057203369192,0.12647671994440585,0.012376237623762377,False,0.1063611069607503,0.008523795596038938,,,,,,
619,matlab_mac/screenshot_2024-12-01_16-16-54.png,text,macos,redo in plot,0.374609375,0.3263888888888889,0.4625,0.3388888888888889,0.5330090340514246,0.36711990111248455,False,0.11953550789818627,0.1507991660875608,0.21755253399258342,False,0.2914410546408408,0.0,,,,,,
706,matlab_mac/screenshot_2024-12-01_19-20-19.png,text,macos,run section,0.229296875,0.0375,0.250390625,0.09166666666666666,0.021542738012508687,0.0,False,0.22765398915724552,0.7727588603196665,0.1915945611866502,False,0.547841552648053,0.0,,,,,,
574,common_mac/screenshot_2024-10-23_15-20-18.png,text,macos,cancel metadata retrieval,0.7717013888888888,0.2493285586392122,0.7948495370370371,0.26007162041181736,0.5892981236970118,0.34516129032258064,False,0.21403372864655001,0.12161223071577484,0.11935483870967742,False,0.6753640276370947,0.0,,,,,,
555,common_mac/screenshot_2024-10-23_14-51-18.png,icon,macos,launchpad,0.3353587962962963,0.9655326768128917,0.3515625,0.9923903312444047,0.6754690757470465,0.3387096774193548,False,0.7212156386776631,0.6768589298123697,0.3387096774193548,False,0.7218565063038445,0.0,,,,,,
